00:06:37.611{'coordinate': [44.98961267872587, 60.45567370896216], 'id': 1}
00:06:37.625{'coordinate': [54.40871494191279, 396.6123631921608], 'id': 6}
00:06:37.626{'id': 8, 'coordinate': [51.955090116162836, 252.94666825185857]}
00:06:37.627{'coordinate': [50.69017125876873, 745.0521799251317], 'id': 2}
00:06:37.627{'coordinate': [51.78833079624329, 335.953397883487], 'id': 7}
00:06:37.627{'coordinate': [57.98792746852338, 190.49122793438096], 'id': 9}
00:06:37.629{'coordinate': [47.690246837505455, 463.53036111380317], 'id': 5}
00:06:37.629{'id': 4, 'coordinate': [55.38653517834445, 543.4486167293137]}
00:06:37.630{'id': 10, 'coordinate': [48.99136201559375, 129.4155539355491]}
00:06:37.644{'id': 3, 'coordinate': [55.00956723485149, 644.660910436429]}
00:06:37.845{'coordinate': [54.97922535745174, 60.91134741792432], 'id': 1}
00:06:37.845{'coordinate': [59.38034251753746, 740.1043598502633], 'id': 2}
00:06:37.845{'id': 4, 'coordinate': [64.7730703566889, 546.8972334586274]}
00:06:37.849{'coordinate': [57.38049367501091, 461.06072222760633], 'id': 5}
00:06:37.849{'coordinate': [63.81742988382558, 393.22472638432157], 'id': 6}
00:06:37.849{'coordinate': [67.97585493704676, 190.98245586876192], 'id': 9}
00:06:37.849{'id': 3, 'coordinate': [64.01913446970298, 640.3218208728581]}
00:06:37.850{'coordinate': [61.57666159248657, 333.906795766974], 'id': 7}
00:06:37.850{'id': 10, 'coordinate': [58.9827240311875, 129.8311078710982]}
00:06:37.850{'id': 8, 'coordinate': [61.91018023232567, 253.89333650371717]}
00:06:38.063{'coordinate': [77.96378240557014, 191.47368380314288], 'id': 9}
00:06:38.063{'id': 10, 'coordinate': [68.97408604678125, 130.2466618066473]}
00:06:38.064{'id': 3, 'coordinate': [73.02870170455446, 635.9827313092871]}
00:06:38.065{'coordinate': [64.96883803617762, 61.36702112688648], 'id': 1}
00:06:38.065{'coordinate': [71.36499238872986, 331.86019365046104], 'id': 7}
00:06:38.065{'id': 4, 'coordinate': [74.15960553503336, 550.3458501879411]}
00:06:38.066{'coordinate': [73.22614482573837, 389.83708957648236], 'id': 6}
00:06:38.066{'id': 8, 'coordinate': [71.86527034848851, 254.84000475557573]}
00:06:38.067{'coordinate': [68.07051377630619, 735.156539775395], 'id': 2}
00:06:38.080{'coordinate': [67.07074051251637, 458.5910833414095], 'id': 5}
00:06:38.281{'coordinate': [76.76098735002182, 456.12144445521267], 'id': 5}
00:06:38.281{'id': 3, 'coordinate': [82.03826893940595, 631.6436417457162]}
00:06:38.282{'coordinate': [74.95845071490348, 61.82269483584864], 'id': 1}
00:06:38.282{'coordinate': [76.76068503507491, 730.2087197005267], 'id': 2}
00:06:38.282{'coordinate': [81.15332318497315, 329.81359153394806], 'id': 7}
00:06:38.282{'id': 10, 'coordinate': [78.965448062375, 130.6622157421964]}
00:06:38.282{'id': 4, 'coordinate': [83.54614071337781, 553.7944669172548]}
00:06:38.283{'coordinate': [82.63485976765116, 386.44945276864314], 'id': 6}
00:06:38.283{'coordinate': [87.95170987409352, 191.96491173752383], 'id': 9}
00:06:38.284{'id': 8, 'coordinate': [81.82036046465134, 255.78667300743433]}
00:06:38.503{'id': 4, 'coordinate': [92.93267589172227, 557.2430836465685]}
00:06:38.504{'coordinate': [84.94806339362935, 62.278368544810796], 'id': 1}
00:06:38.505{'coordinate': [90.94165398121643, 327.76698941743507], 'id': 7}
00:06:38.505{'id': 10, 'coordinate': [88.95681007796875, 131.0777696777455]}
00:06:38.506{'coordinate': [85.45085629384364, 725.2608996256583], 'id': 2}
00:06:38.506{'coordinate': [92.04357470956396, 383.0618159608039], 'id': 6}
00:06:38.506{'id': 3, 'coordinate': [91.04783617425744, 627.3045521821452]}
00:06:38.506{'id': 8, 'coordinate': [91.77545058081418, 256.7333412592929]}
00:06:38.507{'coordinate': [97.9396373426169, 192.4561396719048], 'id': 9}
00:06:38.511{'coordinate': [86.45123418752728, 453.65180556901583], 'id': 5}
00:06:38.724{'id': 4, 'coordinate': [102.31921107006673, 560.6917003758822]}
00:06:38.731{'coordinate': [96.14148102503273, 451.182166682819], 'id': 5}
00:06:38.732{'coordinate': [107.92756481114029, 192.94736760628575], 'id': 9}
00:06:38.732{'coordinate': [94.14102755261237, 720.31307955079], 'id': 2}
00:06:38.732{'id': 10, 'coordinate': [98.9481720935625, 131.4933236132946]}
00:06:38.732{'id': 3, 'coordinate': [100.05740340910893, 622.9654626185743]}
00:06:38.732{'id': 8, 'coordinate': [101.73054069697702, 257.68000951115147]}
00:06:38.733{'coordinate': [100.72998477745972, 325.7203873009221], 'id': 7}
00:06:38.734{'coordinate': [94.93767607235523, 62.734042253772955], 'id': 1}
00:06:38.738{'coordinate': [101.45228965147675, 379.6741791529647], 'id': 6}
00:06:38.930{'id': 10, 'coordinate': [108.93953410915626, 131.9088775488437]}
00:06:38.931{'id': 8, 'coordinate': [111.68563081313985, 258.62667776301004]}
00:06:38.932{'coordinate': [102.8311988113811, 715.3652594759217], 'id': 2}
00:06:38.932{'coordinate': [104.92728875108111, 63.189715962735114], 'id': 1}
00:06:38.932{'coordinate': [110.518315573703, 323.6737851844091], 'id': 7}
00:06:38.932{'coordinate': [117.91549227966367, 193.4385955406667], 'id': 9}
00:06:38.932{'id': 3, 'coordinate': [109.06697064396042, 618.6263730550033]}
00:06:38.939{'coordinate': [105.83172786253819, 448.71252779662217], 'id': 5}
00:06:38.939{'id': 4, 'coordinate': [111.70574624841119, 564.1403171051959]}
00:06:38.945{'coordinate': [110.86100459338954, 376.2865423451255], 'id': 6}
00:06:39.157{'id': 3, 'coordinate': [118.07653787881189, 614.2872834914324]}
00:06:39.157{'id': 4, 'coordinate': [121.09228142675565, 567.5889338345096]}
00:06:39.158{'id': 8, 'coordinate': [121.64072092930269, 259.5733460148686]}
00:06:39.160{'coordinate': [127.90341974818705, 193.92982347504767], 'id': 9}
00:06:39.161{'coordinate': [111.52137007014983, 710.4174394010533], 'id': 2}
00:06:39.162{'coordinate': [120.26971953530233, 372.8989055372863], 'id': 6}
00:06:39.162{'coordinate': [120.3066463699463, 321.6271830678961], 'id': 7}
00:06:39.163{'coordinate': [114.91690142980698, 63.645389671697274], 'id': 1}
00:06:39.163{'id': 10, 'coordinate': [118.93089612475, 132.3244314843928]}
00:06:39.180{'coordinate': [115.52197470004364, 446.24288891042534], 'id': 5}
00:06:39.397{'coordinate': [124.90651410853286, 64.10106338065944], 'id': 1}
00:06:39.397{'coordinate': [129.67843447721512, 369.51126872944707], 'id': 6}
00:06:39.397{'coordinate': [137.89134721671041, 194.42105140942863], 'id': 9}
00:06:39.397{'id': 10, 'coordinate': [128.92225814034376, 132.7399854199419]}
00:06:39.398{'coordinate': [120.21154132891856, 705.469619326185], 'id': 2}
00:06:39.398{'coordinate': [125.2122215375491, 443.7732500242285], 'id': 5}
00:06:39.398{'coordinate': [130.09497716618958, 319.5805809513831], 'id': 7}
00:06:39.398{'id': 3, 'coordinate': [127.08610511366336, 609.9481939278614]}
00:06:39.398{'id': 4, 'coordinate': [130.4788166051001, 571.0375505638233]}
00:06:39.399{'id': 8, 'coordinate': [131.59581104546552, 260.5200142667272]}
00:06:39.621{'coordinate': [134.89612678725874, 64.5567370896216], 'id': 1}
00:06:39.621{'coordinate': [134.90246837505455, 441.30361113803167], 'id': 5}
00:06:39.621{'coordinate': [139.0871494191279, 366.12363192160785], 'id': 6}
00:06:39.621{'id': 10, 'coordinate': [138.9136201559375, 133.155539355491]}
00:06:39.622{'coordinate': [128.90171258768729, 700.5217992513167], 'id': 2}
00:06:39.622{'coordinate': [139.88330796243287, 317.53397883487014], 'id': 7}
00:06:39.622{'id': 4, 'coordinate': [139.86535178344454, 574.486167293137]}
00:06:39.622{'id': 8, 'coordinate': [141.55090116162836, 261.46668251858574]}
00:06:39.623{'coordinate': [147.87927468523378, 194.9122793438096], 'id': 9}
00:06:39.626{'id': 3, 'coordinate': [136.09567234851482, 605.6091043642905]}
00:06:39.835{'coordinate': [137.591883846456, 695.5739791764483], 'id': 2}
00:06:39.836{'coordinate': [144.8857394659846, 65.01241079858377], 'id': 1}
00:06:39.837{'coordinate': [144.59271521256002, 438.83397225183484], 'id': 5}
00:06:39.837{'id': 8, 'coordinate': [151.5059912777912, 262.4133507704443]}
00:06:39.838{'id': 10, 'coordinate': [148.90498217153126, 133.57109329104009]}
00:06:39.839{'coordinate': [148.4958643610407, 362.7359951137687], 'id': 6}
00:06:39.839{'coordinate': [149.67163875867615, 315.48737671835715], 'id': 7}
00:06:39.846{'coordinate': [157.86720215375715, 195.40350727819055], 'id': 9}
00:06:40.008{'id': 3, 'coordinate': [145.85218172018907, 603.41581348517]}
00:06:40.202{'id': 8, 'coordinate': [161.46108139395403, 263.3600190223029]}
00:06:40.203{'coordinate': [154.2829620500655, 436.364333365638], 'id': 5}
00:06:40.203{'coordinate': [159.45996955491944, 313.44077460184417], 'id': 7}
00:06:40.203{'coordinate': [167.85512962228051, 195.8947352125715], 'id': 9}
00:06:40.203{'id': 10, 'coordinate': [158.896344187125, 133.98664722658918]}
00:06:40.205{'coordinate': [146.2820551052247, 690.62615910158], 'id': 2}
00:06:40.206{'coordinate': [157.9045793029535, 359.3483583059295], 'id': 6}
00:06:40.208{'coordinate': [154.8753521447105, 65.46808450754594], 'id': 1}
00:06:40.354{'id': 3, 'coordinate': [154.3280988663934, 598.1093242002775]}
00:06:40.649{'id': 8, 'coordinate': [171.41617151011687, 264.30668727416145]}
00:06:40.651{'coordinate': [154.97222636399346, 685.6783390267117], 'id': 2}
00:06:40.652{'coordinate': [163.97320888757096, 433.89469447944117], 'id': 5}
00:06:40.652{'coordinate': [169.24830035116273, 311.3941724853312], 'id': 7}
00:06:40.653{'coordinate': [164.86496482343637, 65.9237582165081], 'id': 1}
00:06:40.653{'coordinate': [177.84305709080388, 196.38596314695246], 'id': 9}
00:06:40.654{'id': 10, 'coordinate': [168.88770620271876, 134.40220116213828]}
00:06:40.828{'id': 4, 'coordinate': [144.7486615236307, 583.2127523056951]}
00:06:41.026{'coordinate': [163.66239762276217, 680.7305189518434], 'id': 2}
00:06:41.026{'coordinate': [187.83098455932725, 196.87719108133342], 'id': 9}
00:06:41.027{'id': 10, 'coordinate': [178.8790682183125, 134.81775509768738]}
00:06:41.028{'id': 8, 'coordinate': [181.3712616262797, 265.25335552602]}
00:06:41.029{'coordinate': [173.66345572507643, 431.42505559324434], 'id': 5}
00:06:41.029{'coordinate': [174.85457750216224, 66.37943192547027], 'id': 1}
00:06:41.031{'coordinate': [179.036631147406, 309.3475703688182], 'id': 7}
00:06:41.186{'id': 4, 'coordinate': [154.21996140096627, 586.4212533004874]}
00:06:41.394{'coordinate': [197.81891202785062, 197.36841901571438], 'id': 9}
00:06:41.403{'id': 8, 'coordinate': [191.32635174244254, 266.2000237778786]}
00:06:41.404{'coordinate': [184.84419018088812, 66.83510563443244], 'id': 1}
00:06:41.405{'coordinate': [183.3537025625819, 428.9554167070475], 'id': 5}
00:06:41.405{'coordinate': [188.8249619436493, 307.3009682523052], 'id': 7}
00:06:41.408{'coordinate': [172.35256888153089, 675.782698876975], 'id': 2}
00:06:41.409{'id': 10, 'coordinate': [188.87043023390626, 135.23330903323648]}
00:06:41.561{'id': 4, 'coordinate': [163.69126127830185, 589.6297542952797]}
00:06:41.767{'id': 10, 'coordinate': [198.8617922495, 135.64886296878558]}
00:06:41.778{'coordinate': [194.833802859614, 67.2907793433946], 'id': 1}
00:06:41.780{'coordinate': [198.6132927398926, 305.2543661357922], 'id': 7}
00:06:41.780{'coordinate': [207.80683949637398, 197.85964695009534], 'id': 9}
00:06:41.780{'id': 8, 'coordinate': [201.28144185860538, 267.14669202973715]}
00:06:41.781{'coordinate': [193.04394940008737, 426.48577782085067], 'id': 5}
00:06:41.784{'coordinate': [181.0427401402996, 670.8348788021067], 'id': 2}
00:06:41.940{'id': 4, 'coordinate': [173.16256115563743, 592.838255290072]}
00:06:42.148{'coordinate': [189.7329113990683, 665.8870587272384], 'id': 2}
00:06:42.148{'id': 10, 'coordinate': [208.85315426509376, 136.06441690433468]}
00:06:42.149{'coordinate': [202.73419623759284, 424.01613893465384], 'id': 5}
00:06:42.149{'coordinate': [208.40162353613587, 303.2077640192793], 'id': 7}
00:06:42.158{'coordinate': [204.82341553833987, 67.74645305235677], 'id': 1}
00:06:42.159{'coordinate': [217.79476696489735, 198.3508748844763], 'id': 9}
00:06:42.169{'id': 8, 'coordinate': [211.2365319747682, 268.0933602815957]}
00:06:42.357{'id': 4, 'coordinate': [182.63386103297302, 596.0467562848643]}
00:06:42.568{'id': 8, 'coordinate': [221.19162209093105, 269.0400285334543]}
00:06:42.570{'coordinate': [214.81302821706575, 68.20212676131894], 'id': 1}
00:06:42.571{'coordinate': [212.4244430750983, 421.546500048457], 'id': 5}
00:06:42.572{'coordinate': [198.42308265783703, 660.93923865237], 'id': 2}
00:06:42.572{'coordinate': [227.78269443342072, 198.84210281885726], 'id': 9}
00:06:42.572{'id': 10, 'coordinate': [218.84451628068751, 136.47997083988378]}
00:06:42.580{'coordinate': [218.18995433237916, 301.16116190276637], 'id': 7}
00:06:42.734{'id': 4, 'coordinate': [192.1051609103086, 599.2552572796566]}
00:06:42.926{'coordinate': [222.11468991260378, 419.0768611622602], 'id': 5}
00:06:42.927{'id': 10, 'coordinate': [228.83587829628127, 136.89552477543288]}
00:06:42.927{'id': 8, 'coordinate': [231.14671220709388, 269.98669678531286]}
