23:03:31.421{'id': 4, 'coordinate': [48.92333590313078, 234.23588209536175]}
23:03:31.422{'coordinate': [48.98921538370446, 638.5356983545557], 'id': 5}
23:03:31.423{'coordinate': [48.88045820050986, 854.4583950739643], 'id': 3}
23:03:31.423{'id': 2, 'coordinate': [48.99378657138392, 427.3524627152288]}
23:03:31.426{'id': 1, 'coordinate': [46.80760734502229, 42.95213682047773]}
23:03:31.628{'id': 1, 'coordinate': [56.615214690044574, 44.904273640955466]}
23:03:31.631{'coordinate': [58.97843076740892, 638.0713967091115], 'id': 5}
23:03:31.632{'coordinate': [58.76091640101971, 852.9167901479286], 'id': 3}
23:03:31.632{'id': 2, 'coordinate': [58.98757314276784, 427.7049254304576]}
23:03:31.633{'id': 4, 'coordinate': [58.846671806261554, 235.4717641907235]}
23:03:31.828{'id': 1, 'coordinate': [66.42282203506686, 46.8564104614332]}
23:03:31.828{'id': 2, 'coordinate': [68.98135971415176, 428.0573881456864]}
23:03:31.828{'id': 4, 'coordinate': [68.77000770939233, 236.70764628608524]}
23:03:31.829{'coordinate': [68.96764615111339, 637.6070950636672], 'id': 5}
23:03:31.838{'coordinate': [68.64137460152956, 851.3751852218929], 'id': 3}
23:03:32.018{'coordinate': [78.95686153481785, 637.1427934182229], 'id': 5}
23:03:32.018{'id': 4, 'coordinate': [78.69334361252311, 237.94352838144698]}
23:03:32.019{'coordinate': [78.52183280203941, 849.8335802958572], 'id': 3}
23:03:32.022{'id': 1, 'coordinate': [76.23042938008915, 48.80854728191093]}
23:03:32.022{'id': 2, 'coordinate': [78.97514628553569, 428.4098508609152]}
23:03:32.226{'coordinate': [88.40229100254926, 848.2919753698216], 'id': 3}
23:03:32.226{'id': 2, 'coordinate': [88.96893285691961, 428.762313576144]}
23:03:32.226{'id': 4, 'coordinate': [88.61667951565389, 239.17941047680873]}
23:03:32.227{'id': 1, 'coordinate': [86.03803672511144, 50.760684102388666]}
23:03:32.275{'coordinate': [88.94607691852231, 636.6784917727787], 'id': 5}
23:03:32.462{'id': 2, 'coordinate': [98.96271942830353, 429.1147762913728]}
23:03:32.462{'id': 4, 'coordinate': [98.54001541878466, 240.41529257217047]}
23:03:32.464{'coordinate': [98.93529230222677, 636.2141901273344], 'id': 5}
23:03:32.464{'id': 1, 'coordinate': [95.84564407013372, 52.7128209228664]}
23:03:32.465{'coordinate': [98.28274920305911, 846.7503704437859], 'id': 3}
23:03:32.664{'id': 4, 'coordinate': [108.46335132191544, 241.65117466753222]}
23:03:32.665{'coordinate': [108.16320740356896, 845.2087655177502], 'id': 3}
23:03:32.665{'coordinate': [108.92450768593123, 635.7498884818901], 'id': 5}
23:03:32.666{'id': 2, 'coordinate': [108.95650599968745, 429.4672390066016]}
23:03:32.670{'id': 1, 'coordinate': [105.653251415156, 54.66495774334413]}
23:03:32.865{'id': 1, 'coordinate': [115.4608587601783, 56.617094563821865]}
23:03:32.878{'id': 4, 'coordinate': [118.38668722504622, 242.88705676289396]}
23:03:32.882{'coordinate': [118.9137230696357, 635.2855868364459], 'id': 5}
23:03:32.882{'id': 2, 'coordinate': [118.95029257107137, 429.81970172183037]}
23:03:32.888{'coordinate': [118.04366560407881, 843.6671605917145], 'id': 3}
23:03:33.075{'id': 1, 'coordinate': [125.26846610520059, 58.5692313842996]}
23:03:33.075{'id': 2, 'coordinate': [128.94407914245528, 430.17216443705917]}
23:03:33.077{'coordinate': [127.92412380458866, 842.1255556656788], 'id': 3}
23:03:33.079{'coordinate': [128.90293845334014, 634.8212851910016], 'id': 5}
23:03:33.097{'id': 4, 'coordinate': [128.310023128177, 244.1229388582557]}
23:03:33.277{'coordinate': [138.8921538370446, 634.3569835455573], 'id': 5}
23:03:33.277{'id': 2, 'coordinate': [138.9378657138392, 430.524627152288]}
23:03:33.277{'id': 4, 'coordinate': [138.23335903130777, 245.35882095361745]}
23:03:33.280{'coordinate': [137.80458200509852, 840.5839507396431], 'id': 3}
23:03:33.286{'id': 1, 'coordinate': [135.07607345022288, 60.52136820477733]}
23:03:33.481{'id': 2, 'coordinate': [148.9316522852231, 430.8770898675168]}
23:03:33.485{'coordinate': [148.88136922074904, 633.8926819001131], 'id': 5}
23:03:33.485{'id': 4, 'coordinate': [148.15669493443855, 246.5947030489792]}
23:03:33.486{'id': 1, 'coordinate': [144.88368079524517, 62.473505025255065]}
23:03:33.491{'coordinate': [147.68504020560837, 839.0423458136074], 'id': 3}
23:03:33.681{'coordinate': [157.56549840611822, 837.5007408875717], 'id': 3}
23:03:33.681{'id': 1, 'coordinate': [154.69128814026746, 64.4256418457328]}
23:03:33.683{'id': 4, 'coordinate': [158.08003083756932, 247.83058514434094]}
