1	29:00.664	142.77	110.69	89.97	57.18	141.42	136.55	77.63	125.79	91.85	87.97	113.15	69.05	79.24	55.65	56.78	59.02	92.31	69.32	85.39	132.61
2	29:00.922	142.58	110.49	89.77	56.97	141.19	136.33	77.41	125.57	91.65	87.76	112.93	68.84	79.02	55.43	56.58	58.81	92.10	69.11	85.17	132.38
3	29:01.167	142.36	110.26	89.55	56.77	141.00	136.13	77.18	125.37	91.44	87.55	112.73	68.62	78.80	55.22	56.35	58.61	91.89	68.91	84.94	132.15
4	29:01.452	141.95	110.05	89.33	56.53	140.77	135.89	76.98	125.12	91.22	87.31	112.51	68.41	78.58	55.00	56.09	58.24	91.66	68.68	84.69	131.90
5	29:01.949	141.56	109.70	88.99	56.17	140.27	135.59	76.62	124.83	90.80	86.93	112.12	67.96	78.21	54.61	55.75	57.85	91.30	68.30	84.32	131.51
6	29:02.396	141.31	109.38	88.64	55.67	140.04	135.30	76.29	124.50	90.46	86.57	111.78	67.68	77.86	54.28	55.35	57.66	90.95	67.96	84.00	131.16
7	29:02.766	141.01	109.09	88.37	55.33	139.62	135.01	75.99	124.22	90.10	86.27	111.51	67.33	77.58	53.99	55.05	57.35	90.66	67.64	83.57	130.85
8	29:03.379	140.70	108.76	88.06	55.01	139.39	134.69	75.67	123.93	89.72	85.94	111.22	67.12	77.27	53.54	54.77	57.03	90.34	67.33	83.24	130.55
9	29:03.796	140.33	108.27	87.77	54.61	139.06	134.33	75.34	123.58	89.36	85.63	110.89	66.80	76.89	53.21	54.46	56.66	90.00	66.94	82.94	130.18
10	29:04.173	140.02	107.93	87.45	54.38	138.72	134.01	74.99	123.25	89.02	85.27	110.46	66.48	76.55	52.90	54.24	56.33	89.66	66.63	82.64	129.73
11	29:04.606	139.72	107.53	87.09	54.03	138.36	133.51	74.68	122.92	88.63	84.93	110.21	66.18	76.24	52.59	53.89	56.05	89.28	66.28	82.44	129.52
12	29:05.052	139.43	107.34	86.73	53.72	138.03	133.11	74.36	122.57	88.29	84.63	109.82	65.88	75.91	52.26	53.54	55.83	88.98	65.97	82.10	129.09
13	29:05.407	139.15	107.00	86.36	53.40	137.71	132.86	74.02	122.21	88.07	84.32	109.47	65.58	75.58	52.01	53.26	55.50	88.75	65.68	81.72	128.70
14	29:05.840	138.89	106.65	86.02	53.05	137.42	132.53	73.73	121.91	87.79	84.01	109.11	65.31	75.22	51.72	52.98	55.16	88.44	65.42	81.36	128.39
15	29:06.261	138.57	106.33	85.68	52.75	137.09	132.20	73.41	121.59	87.46	83.69	108.91	64.99	74.91	51.43	52.69	54.87	88.11	65.09	80.97	128.22
16	29:06.690	138.27	106.06	85.34	52.46	136.79	131.83	73.08	121.20	87.19	83.40	108.57	64.67	74.49	51.12	52.41	54.59	87.77	64.72	80.61	127.79
17	29:07.042	137.99	105.74	85.05	52.11	136.49	131.37	72.78	120.96	86.89	83.09	108.17	64.34	74.28	50.82	52.08	54.23	87.36	64.41	80.24	127.44
18	29:07.314	137.70	105.44	84.79	51.78	136.20	131.16	72.43	120.65	86.59	82.74	107.83	64.04	73.96	50.58	51.76	53.85	87.18	64.11	80.02	127.05
19	29:07.717	137.37	105.01	84.53	51.48	135.85	130.86	72.09	120.23	86.24	82.42	107.60	63.69	73.53	50.23	51.42	53.66	86.89	63.80	79.71	126.63
20	29:08.164	137.03	104.81	84.19	51.15	135.55	130.54	71.75	119.97	85.86	82.07	107.13	63.33	73.29	49.90	51.07	53.32	86.60	63.53	79.36	126.24
21	29:08.560	136.73	104.39	83.86	50.84	135.22	130.23	71.42	119.66	85.54	81.76	106.77	63.02	72.97	49.60	51.07	52.89	86.28	63.24	79.01	125.89
22	29:08.988	136.38	104.08	83.53	50.50	134.89	129.92	71.13	119.15	85.22	81.42	106.41	62.69	72.51	49.28	50.93	52.69	85.92	62.95	78.65	125.49
23	29:09.372	136.05	103.81	83.23	50.21	134.58	129.63	70.82	118.94	84.89	81.13	106.07	62.40	72.30	48.98	50.71	52.36	85.60	62.62	78.36	125.14
24	29:09.772	135.74	103.55	82.91	49.89	134.14	129.32	70.42	118.62	84.61	80.84	105.71	62.11	72.01	48.63	50.49	52.05	85.20	62.38	78.06	124.78
25	29:10.166	135.44	103.30	82.58	49.59	133.92	129.04	70.11	118.15	84.35	80.53	105.34	61.82	71.63	48.30	50.13	51.74	85.03	62.05	77.75	124.58
26	29:10.596	135.19	102.93	82.30	49.30	133.63	128.70	69.75	117.74	84.02	80.22	105.00	61.51	71.32	47.94	49.80	51.40	84.72	61.72	77.43	124.27
27	29:10.979	134.90	102.62	82.01	49.00	133.20	128.38	69.53	117.41	83.71	79.91	104.77	61.25	71.02	47.66	49.51	51.09	84.33	61.51	77.13	123.96
28	29:11.502	134.55	102.30	81.69	48.56	132.97	128.06	69.08	117.22	83.39	79.59	104.47	60.95	70.80	47.27	49.41	50.77	84.15	61.21	76.80	123.64
29	29:11.781	134.25	101.95	81.37	48.33	132.52	127.78	68.85	116.86	83.06	79.32	104.17	60.63	70.49	47.05	49.01	50.46	83.73	60.89	76.50	123.32
30	29:12.316	133.95	101.66	81.08	47.88	132.34	127.51	68.57	116.53	82.75	79.01	103.90	60.31	70.18	46.63	48.89	50.16	83.52	60.60	76.17	122.99
31	29:12.732	133.65	101.37	80.77	47.54	131.89	127.23	68.29	116.21	82.42	78.70	103.60	60.00	69.89	46.33	48.67	49.87	83.07	60.32	75.84	122.70
32	29:13.255	133.33	100.96	80.40	47.54	131.63	126.86	67.96	115.88	82.04	78.39	103.25	59.66	69.51	45.86	48.47	49.50	82.82	59.93	75.44	122.36
33	29:13.670	133.02	100.61	80.07	47.20	131.14	126.50	67.64	115.54	81.78	78.07	102.91	59.33	69.18	45.45	48.24	49.15	82.44	59.57	75.10	122.02
34	29:14.064	132.65	100.28	79.73	46.90	130.79	126.18	67.27	115.19	81.47	77.74	102.55	58.91	68.84	45.07	48.02	48.85	82.11	59.13	74.79	121.69
35	29:14.455	132.30	99.98	79.39	46.58	130.43	125.85	66.97	114.87	81.16	77.42	102.22	58.67	68.50	44.69	47.80	48.51	81.78	58.91	74.44	121.40
36	29:14.937	131.98	99.68	79.08	46.23	130.22	125.51	66.69	114.56	80.86	77.10	101.93	58.37	68.22	44.22	47.56	48.19	81.58	58.62	74.14	121.09
37	29:15.336	131.67	99.38	78.76	45.90	129.92	125.18	66.33	114.25	80.53	76.82	101.63	58.08	67.93	43.83	47.31	47.90	81.30	58.26	73.80	120.77
38	29:15.722	131.33	99.06	78.44	45.58	129.57	124.89	65.97	113.91	80.21	76.53	101.30	57.78	67.62	43.46	47.05	47.62	81.00	57.93	73.46	120.46
39	29:16.111	131.00	98.74	78.13	45.25	129.26	124.59	65.70	113.68	79.91	76.22	100.98	57.47	67.30	43.09	46.81	47.34	80.69	57.60	73.20	120.19
40	29:16.546	130.70	98.43	77.84	44.93	128.98	124.25	65.29	113.38	79.65	75.92	100.67	57.18	66.98	42.68	46.60	47.05	80.37	57.11	72.88	119.90
41	29:16.765	130.35	98.10	77.54	44.60	128.69	123.91	64.89	113.04	79.33	75.59	100.36	56.86	66.65	42.50	46.37	47.05	80.07	56.78	72.54	119.59
42	29:17.170	130.04	97.79	77.25	44.50	128.36	123.60	64.69	112.76	79.00	75.27	100.03	56.54	66.32	42.16	46.17	46.88	79.75	56.56	72.25	119.28
43	29:17.420	129.84	97.57	76.95	44.28	128.15	123.38	64.47	112.55	78.61	75.06	99.84	56.33	66.12	41.93	45.96	46.66	79.52	56.37	72.05	119.08
44	29:17.900	129.52	97.19	76.58	44.19	127.81	123.05	64.14	112.25	78.15	74.72	99.47	55.97	65.78	41.60	45.83	46.52	79.20	56.03	71.68	118.75
45	29:18.320	129.21	96.87	76.23	43.94	127.51	122.73	63.83	111.94	77.81	74.37	99.17	55.68	65.42	41.28	45.59	46.29	78.88	55.73	71.36	118.46
46	29:18.732	128.95	96.54	75.94	43.71	127.23	122.44	63.54	111.65	77.45	74.07	98.86	55.37	65.42	40.98	45.41	46.04	78.57	55.42	71.05	118.13
47	29:19.084	128.66	96.15	75.62	43.52	126.96	122.17	63.22	111.38	77.10	73.79	98.43	55.07	65.26	40.71	45.21	45.82	78.25	55.14	70.73	117.85
48	29:19.504	128.33	95.95	75.31	43.30	126.67	121.85	62.90	111.06	76.73	73.47	98.19	54.70	65.08	40.38	45.05	45.64	77.96	54.82	70.37	117.52
49	29:19.921	128.04	95.64	75.13	43.10	126.38	121.52	62.62	110.75	76.52	73.12	97.84	54.36	64.85	40.08	44.83	45.41	77.64	54.53	70.04	117.18
50	29:20.202	127.79	95.39	74.90	42.90	126.16	121.29	62.37	110.51	76.31	72.93	97.62	54.13	64.62	39.87	44.61	45.20	77.42	54.28	69.80	116.99
52	29:20.302	127.54	95.10	74.61	42.74	125.90	121.00	62.06	110.25	76.01	72.65	97.34	53.86	64.51	39.87	44.46	45.08	77.15	53.99	69.51	116.72
53	29:20.556	127.33	94.87	74.37	42.57	125.71	120.76	61.83	110.03	75.80	72.43	97.14	53.64	64.32	39.77	44.26	44.90	76.92	53.77	69.28	116.48
54	29:20.819	127.13	94.55	74.15	42.47	125.50	120.55	61.61	109.81	75.57	72.21	96.75	53.42	64.22	39.68	44.16	44.77	76.70	53.56	69.06	116.25
55	29:21.075	126.84	94.21	73.85	42.37	125.18	120.28	61.34	109.49	75.27	71.90	96.38	53.13	64.10	39.55	44.03	44.67	76.41	53.21	68.74	115.96
56	29:21.492	126.53	93.92	73.55	42.16	124.88	119.96	61.02	109.15	74.97	71.55	96.00	52.86	63.87	39.33	43.84	44.44	76.09	53.21	68.40	115.62
57	29:21.915	126.20	93.70	73.23	41.89	124.56	119.66	60.72	108.84	74.67	71.24	95.79	52.55	63.69	39.04	43.59	44.23	75.78	53.03	68.09	115.32
58	29:22.322	126.01	93.52	73.01	41.69	124.33	119.47	60.52	108.65	74.48	71.02	95.58	52.33	63.52	38.84	43.38	44.03	75.55	52.78	67.88	115.09
59	29:22.572	125.79	93.32	72.80	41.57	124.13	119.25	60.30	108.45	74.27	70.81	95.37	52.14	63.41	38.71	43.24	43.94	75.34	52.70	67.68	114.89
60	29:22.808	125.54	93.13	72.59	41.46	123.93	119.05	60.09	108.24	74.04	70.58	95.17	51.90	63.32	38.60	43.14	43.84	75.04	52.59	67.44	114.52
61	29:23.076	125.25	92.84	72.28	41.33	123.65	118.71	59.81	107.96	73.75	70.28	94.84	51.59	63.19	38.47	43.04	43.72	74.83	52.45	67.44	114.32
62	29:23.460	125.00	92.61	72.04	41.12	123.42	118.46	59.59	107.72	73.52	70.07	94.60	51.38	62.99	38.29	42.84	43.50	74.59	52.24	67.29	114.11
63	29:23.736	124.75	92.36	71.78	41.01	123.17	118.22	59.36	107.46	73.27	69.81	94.33	51.38	62.87	38.17	42.73	43.38	74.33	52.11	67.17	113.85
64	29:24.039	124.49	92.16	71.56	40.83	122.91	118.02	59.15	107.27	73.06	69.59	94.12	51.29	62.70	38.00	42.57	43.25	74.13	51.97	67.02	113.64
65	29:24.307	124.27	91.94	71.35	40.72	122.68	117.81	58.96	107.07	72.83	69.42	93.90	51.19	62.57	37.86	42.47	43.14	73.93	51.87	66.90	113.43
66	29:24.544	124.06	91.74	71.16	40.62	122.47	117.61	58.73	106.84	72.61	69.21	93.69	51.08	62.45	37.73	42.40	43.03	73.71	51.77	66.79	113.22
67	29:24.784	123.83	91.54	70.96	40.52	122.24	117.38	58.54	106.63	72.40	69.00	93.48	50.97	62.34	37.62	42.30	42.92	73.51	51.65	66.71	112.99
68	29:25.041	123.62	91.31	70.74	40.42	122.05	117.15	58.34	106.41	72.19	68.78	93.28	50.86	62.24	37.48	42.21	42.80	73.29	51.55	66.60	112.75
69	29:25.296	123.40	91.13	70.53	40.33	121.85	116.93	58.12	106.23	71.99	68.56	93.09	50.78	62.14	37.36	42.07	42.68	73.07	51.44	66.51	112.56
70	29:25.552	123.18	90.91	70.34	40.24	121.65	116.71	57.90	106.02	71.78	68.33	92.86	50.70	62.02	37.27	41.96	42.56	72.86	51.35	66.43	112.37
71	29:25.789	122.97	90.69	70.12	40.14	121.43	116.49	57.68	105.80	71.58	68.12	92.65	50.56	61.90	37.16	41.85	42.42	72.65	51.24	66.31	112.15
