1	20:40.735	142.91	110.86	90.12	57.29	141.43	136.48	77.56	125.88	91.85	87.93	113.30	69.08	79.40	55.68	56.88	58.98	92.24	69.29	85.66	132.69
2	20:40.980	142.71	110.63	89.94	57.10	141.20	136.30	77.37	125.65	91.63	87.70	113.06	68.85	79.20	55.50	56.66	58.79	92.03	69.06	85.47	132.48
3	20:41.213	142.53	110.39	89.73	56.92	141.02	136.12	77.14	125.43	91.44	87.48	112.86	68.65	78.99	55.31	56.45	58.60	91.85	68.85	85.26	132.29
4	20:41.453	142.20	110.20	89.54	56.69	140.81	135.91	76.94	125.24	91.25	87.27	112.65	68.43	78.79	55.09	56.25	58.22	91.64	68.67	85.04	132.08
5	20:41.832	141.98	109.92	89.21	56.37	140.52	135.57	76.62	124.92	90.97	87.01	112.31	68.10	78.44	54.79	55.92	58.03	91.31	68.37	84.70	131.81
6	20:42.094	141.77	109.61	88.99	56.17	140.31	135.35	76.40	124.72	90.74	86.80	112.07	67.87	78.24	54.58	55.55	57.71	91.11	68.16	84.50	131.59
7	20:42.499	141.42	109.35	88.66	55.81	140.02	135.06	76.04	124.39	90.42	86.45	111.73	67.52	77.88	54.25	55.31	57.36	90.82	67.83	84.18	131.23
8	20:42.993	141.16	109.05	88.38	55.59	139.76	134.70	75.80	124.01	90.14	86.15	111.42	67.25	77.50	53.85	54.83	57.07	90.39	67.47	83.89	130.94
9	20:43.244	140.82	108.78	88.07	55.27	139.43	134.42	75.50	123.71	89.86	85.83	111.13	66.94	77.17	53.66	54.45	56.77	90.02	67.27	83.61	130.61
10	20:43.765	140.52	108.49	87.74	54.93	139.15	134.07	75.19	123.41	89.56	85.52	110.65	66.62	76.80	53.21	54.23	56.43	89.68	66.92	83.28	130.22
11	20:44.210	140.20	108.16	87.41	54.93	138.79	133.79	74.88	123.12	89.21	85.21	110.27	66.30	76.40	52.84	53.71	56.11	89.26	66.61	82.93	129.89
12	20:44.474	139.87	107.81	87.06	54.77	138.47	133.48	74.56	122.89	88.79	84.87	109.90	65.99	76.17	52.63	53.36	55.83	88.92	66.40	82.49	129.59
13	20:45.005	139.57	107.54	86.77	54.53	138.17	133.17	74.13	122.58	88.59	84.53	109.67	65.71	75.84	52.19	53.01	55.55	88.73	65.98	82.27	129.36
14	20:45.419	139.23	107.27	86.46	54.31	137.77	132.86	73.76	122.25	88.28	84.21	109.35	65.26	75.50	51.83	52.65	55.23	88.42	65.64	81.97	129.06
16	20:45.519	138.87	106.91	86.05	54.08	137.45	132.62	73.48	121.87	87.81	83.84	109.00	64.85	75.12	51.83	52.28	54.88	88.06	65.29	81.40	128.68
17	20:45.888	138.48	106.52	85.66	53.80	137.06	132.24	73.10	121.45	87.55	83.43	108.44	64.44	74.73	51.56	52.28	54.42	87.71	64.87	81.15	128.22
18	20:46.388	138.15	106.17	85.34	53.52	136.74	131.92	72.74	121.16	87.06	83.12	108.23	64.07	74.37	51.20	51.99	54.02	87.37	64.46	80.69	128.01
19	20:47.812	137.82	105.78	85.00	53.27	136.42	131.58	72.42	120.75	86.76	82.79	107.77	63.71	74.05	50.84	51.65	53.81	87.06	64.26	80.33	127.67
20	20:48.215	137.53	105.45	84.69	53.04	136.19	131.29	72.10	120.45	86.45	82.46	107.40	63.49	73.72	50.53	51.36	53.33	86.77	63.90	79.95	127.31
21	20:48.678	137.18	105.11	84.34	52.81	135.85	130.96	71.79	120.12	86.14	82.17	107.06	63.15	73.38	50.20	50.97	53.11	86.46	63.56	79.59	127.01
22	20:49.087	136.83	104.78	83.99	52.59	135.49	130.62	71.43	119.88	85.80	81.83	106.83	62.78	73.02	49.87	50.66	52.63	86.12	63.21	79.20	126.65
23	20:49.561	136.50	104.55	83.64	52.34	135.08	130.31	70.95	119.54	85.59	81.51	106.49	62.47	72.70	49.53	50.54	52.39	85.74	62.86	79.00	126.32
24	20:49.780	136.21	104.24	83.35	52.11	134.78	130.01	70.59	119.27	85.30	81.21	106.18	62.17	72.40	49.42	50.33	52.09	85.41	62.57	78.73	126.02
25	20:50.172	135.94	103.81	83.08	51.90	134.50	129.74	70.24	118.97	85.00	80.92	105.90	61.89	72.09	49.22	50.12	51.79	85.15	62.27	78.47	125.75
