10:39:46.102{'id': 15, 'coordinate': [130.99948177694174, 166.10180467872453]}
10:39:46.105{'coordinate': [142.1062547611802, 703.4946761570873], 'id': 3}
10:39:46.105{'id': 1, 'coordinate': [63.23892135491401, 444.3325336430163]}
10:39:46.106{'coordinate': [63.42801790778256, 605.6664615900621], 'id': 18}
10:39:46.106{'coordinate': [67.3725626213664, 241.4864121828271], 'id': 14}
10:39:46.107{'coordinate': [139.26572307691464, 775.3716945697873], 'id': 19}
10:39:46.107{'id': 16, 'coordinate': [72.90639900905862, 102.3650123344946]}
10:39:46.107{'id': 7, 'coordinate': [139.1531240662865, 622.0119519111333]}
10:39:46.108{'coordinate': [126.67379206673333, 115.63591386345239], 'id': 6}
10:39:46.109{'id': 17, 'coordinate': [136.02914303801538, 544.701793862661]}
10:39:46.110{'coordinate': [65.99753845200726, 679.7781331466034], 'id': 8}
10:39:46.110{'coordinate': [67.80038076645775, 531.9880987984617], 'id': 9}
10:39:46.110{'coordinate': [75.99978956911268, 168.06487351898406], 'id': 20}
10:39:46.110{'id': 11, 'coordinate': [68.37710068314307, 386.47418807467267]}
10:39:46.110{'id': 4, 'coordinate': [66.45608927435931, 317.2530563529313]}
10:39:46.110{'id': 5, 'coordinate': [132.30701722867556, 334.8269685234252]}
10:39:46.111{'coordinate': [128.86545822679886, 477.82446261146475], 'id': 2}
10:39:46.111{'id': 10, 'coordinate': [127.79580310008896, 387.0105326717782]}
10:39:46.111{'id': 12, 'coordinate': [66.9339913288091, 759.852909646477]}
10:39:46.112{'coordinate': [140.055009747249, 252.24344181970554], 'id': 13}
10:39:46.447{'coordinate': [75.99507690401452, 679.5562662932068], 'id': 8}
10:39:46.447{'coordinate': [77.6007615329155, 533.9761975969234], 'id': 9}
10:39:46.447{'id': 11, 'coordinate': [77.75420136628614, 389.94837614934534]}
10:39:46.447{'id': 7, 'coordinate': [146.306248132573, 615.0239038222667]}
10:39:46.448{'coordinate': [145.2125095223604, 693.9893523141745], 'id': 3}
10:39:46.448{'coordinate': [85.99957913822536, 168.12974703796812], 'id': 20}
10:39:46.448{'id': 16, 'coordinate': [82.81279801811723, 103.73002466898919]}
10:39:46.448{'id': 1, 'coordinate': [71.47784270982802, 438.6650672860326]}
10:39:46.449{'coordinate': [129.34758413346665, 125.27182772690477], 'id': 6}
10:39:46.449{'coordinate': [149.11001949449798, 256.4868836394111], 'id': 13}
10:39:46.449{'id': 17, 'coordinate': [145.05828607603075, 540.403587725322]}
10:39:46.450{'id': 12, 'coordinate': [76.8679826576182, 758.705819292954]}
10:39:46.450{'id': 4, 'coordinate': [75.91217854871863, 320.5061127058626]}
10:39:46.451{'coordinate': [72.85603581556512, 602.3329231801242], 'id': 18}
10:39:46.451{'coordinate': [76.7451252427328, 244.97282436565422], 'id': 14}
10:39:46.451{'id': 10, 'coordinate': [137.59160620017792, 389.0210653435564]}
10:39:46.452{'coordinate': [130.73091645359773, 487.6489252229295], 'id': 2}
10:39:46.452{'coordinate': [147.53144615382928, 769.7433891395747], 'id': 19}
10:39:46.452{'id': 15, 'coordinate': [140.99896355388347, 166.20360935744907]}
10:39:46.452{'id': 5, 'coordinate': [139.61403445735112, 341.6539370468504]}
10:39:46.770{'id': 10, 'coordinate': [147.38740930026688, 391.0315980153346]}
10:39:46.771{'coordinate': [132.5963746803966, 497.47338783439426], 'id': 2}
10:39:46.771{'id': 11, 'coordinate': [87.13130204942921, 393.422564224018]}
10:39:46.772{'id': 12, 'coordinate': [86.8019739864273, 757.5587289394309]}
10:39:46.773{'coordinate': [132.02137620019997, 134.90774159035718], 'id': 6}
10:39:46.773{'coordinate': [86.1176878640992, 248.45923654848133], 'id': 14}
10:39:46.774{'coordinate': [155.79716923074392, 764.115083709362], 'id': 19}
10:39:46.775{'coordinate': [95.99936870733804, 168.19462055695217], 'id': 20}
10:39:46.776{'coordinate': [148.3187642835406, 684.4840284712618], 'id': 3}
10:39:46.776{'coordinate': [158.16502924174696, 260.7303254591166], 'id': 13}
10:39:46.776{'id': 17, 'coordinate': [154.08742911404613, 536.1053815879831]}
10:39:46.777{'coordinate': [82.28405372334768, 598.9993847701863], 'id': 18}
10:39:46.777{'coordinate': [87.40114229937325, 535.9642963953851], 'id': 9}
10:39:46.777{'id': 15, 'coordinate': [150.9984453308252, 166.30541403617357]}
10:39:46.777{'id': 7, 'coordinate': [153.45937219885948, 608.0358557334]}
10:39:46.778{'id': 16, 'coordinate': [92.71919702717585, 105.09503700348378]}
10:39:46.778{'id': 1, 'coordinate': [79.71676406474204, 432.99760092904893]}
10:39:46.778{'id': 4, 'coordinate': [85.36826782307794, 323.75916905879393]}
10:39:46.779{'coordinate': [85.99261535602179, 679.3343994398102], 'id': 8}
10:39:46.785{'id': 5, 'coordinate': [146.9210516860267, 348.4809055702756]}
10:39:47.201{'coordinate': [167.22003898899595, 264.97376727882215], 'id': 13}
10:39:47.209{'coordinate': [95.99015380802905, 679.1125325864136], 'id': 8}
10:39:47.209{'id': 12, 'coordinate': [96.7359653152364, 756.4116385859079]}
10:39:47.211{'id': 1, 'coordinate': [87.95568541965605, 427.3301345720652]}
10:39:47.212{'id': 7, 'coordinate': [160.61249626514598, 601.0478076445333]}
10:39:47.213{'coordinate': [105.99915827645071, 168.25949407593623], 'id': 20}
10:39:47.213{'coordinate': [151.42501904472078, 674.9787046283491], 'id': 3}
10:39:47.213{'coordinate': [95.4902504854656, 251.94564873130844], 'id': 14}
10:39:47.213{'id': 10, 'coordinate': [157.18321240035584, 393.04213068711283]}
10:39:47.213{'id': 4, 'coordinate': [94.82435709743726, 327.01222541172524]}
10:39:47.214{'coordinate': [134.46183290719546, 507.297850445859], 'id': 2}
10:39:47.214{'coordinate': [164.06289230765856, 758.4867782791493], 'id': 19}
10:39:47.214{'id': 16, 'coordinate': [102.62559603623447, 106.46004933797838]}
10:39:47.214{'id': 17, 'coordinate': [163.1165721520615, 531.8071754506441]}
10:39:47.214{'id': 5, 'coordinate': [154.22806891470225, 355.3078740937008]}
10:39:47.215{'coordinate': [97.201523065831, 537.9523951938468], 'id': 9}
10:39:47.215{'id': 11, 'coordinate': [96.50840273257228, 396.89675229869067]}
10:39:47.216{'coordinate': [91.71207163113024, 595.6658463602485], 'id': 18}
10:39:47.218{'coordinate': [134.69516826693328, 144.54365545380958], 'id': 6}
10:39:47.226{'id': 15, 'coordinate': [160.99792710776694, 166.4072187148981]}
10:39:47.571{'id': 10, 'coordinate': [166.9790155004448, 395.05266335889104]}
10:39:47.586{'coordinate': [136.32729113399432, 517.1223130573237], 'id': 2}
10:39:47.586{'id': 17, 'coordinate': [172.14571519007688, 527.5089693133051]}
10:39:47.587{'coordinate': [101.1400895389128, 592.3323079503106], 'id': 18}
10:39:47.587{'coordinate': [154.53127380590098, 665.4733807854363], 'id': 3}
10:39:47.587{'id': 12, 'coordinate': [106.6699566440455, 755.2645482323849]}
10:39:47.589{'id': 5, 'coordinate': [161.5350861433778, 362.13484261712597]}
10:39:47.590{'coordinate': [115.99894784556339, 168.3243675949203], 'id': 20}
10:39:47.590{'coordinate': [172.3286153845732, 752.8584728489367], 'id': 19}
10:39:47.590{'coordinate': [176.27504873624494, 269.2172090985277], 'id': 13}
10:39:47.590{'id': 7, 'coordinate': [167.76562033143247, 594.0597595556667]}
10:39:47.592{'id': 15, 'coordinate': [170.99740888470868, 166.5090233936226]}
10:39:47.592{'id': 16, 'coordinate': [112.53199504529309, 107.82506167247297]}
10:39:47.592{'id': 4, 'coordinate': [104.28044637179657, 330.26528176465655]}
10:39:47.593{'coordinate': [104.862813106832, 255.43206091413555], 'id': 14}
10:39:47.593{'coordinate': [105.98769226003631, 678.890665733017], 'id': 8}
10:39:47.594{'coordinate': [137.3689603336666, 154.17956931726195], 'id': 6}
10:39:47.595{'coordinate': [107.00190383228875, 539.9404939923085], 'id': 9}
10:39:47.755{'id': 11, 'coordinate': [105.88550341571535, 400.37094037336334]}
10:39:48.013{'id': 16, 'coordinate': [122.4383940543517, 109.19007400696756]}
