11:12:16.298{'id': 10, 'coordinate': [127.79580310008896, 387.0105326717782]}
11:12:16.304{'coordinate': [63.42801790778256, 605.6664615900621], 'id': 18}
11:12:16.306{'id': 2, 'coordinate': [128.86545822679886, 477.82446261146475]}
11:12:16.307{'coordinate': [136.45834762223942, 545.7535157082041], 'id': 17}
11:12:16.308{'id': 3, 'coordinate': [148.56767111715018, 710.0914489184389]}
11:12:16.309{'coordinate': [139.58387957125947, 775.8699891319692], 'id': 19}
11:12:16.309{'coordinate': [67.80038076645775, 531.9880987984617], 'id': 9}
11:12:16.309{'coordinate': [75.98683583841897, 167.4870575700232], 'id': 20}
11:12:16.309{'id': 15, 'coordinate': [130.99948177694174, 166.10180467872453]}
11:12:16.310{'id': 6, 'coordinate': [131.3585785961391, 112.7713603540532]}
11:12:16.311{'coordinate': [141.99972262877665, 629.0744805178032], 'id': 7}
11:12:16.311{'id': 13, 'coordinate': [140.495107725946, 251.13734430254001]}
11:12:16.312{'coordinate': [134.99584208356896, 327.71165811897686], 'id': 5}
11:12:16.312{'coordinate': [66.88635049011387, 312.4966457547786], 'id': 4}
11:12:16.312{'id': 16, 'coordinate': [72.9990626180465, 101.13691880946496]}
11:12:16.312{'id': 1, 'coordinate': [63.23892135491401, 444.3325336430163]}
11:12:16.313{'coordinate': [67.3725626213664, 241.4864121828271], 'id': 14}
11:12:16.313{'coordinate': [68.37710068314307, 386.47418807467267], 'id': 11}
11:12:16.313{'id': 8, 'coordinate': [65.99753845200726, 679.7781331466034]}
11:12:16.314{'id': 12, 'coordinate': [66.99898402345974, 761.1425429710539]}
11:12:16.561{'id': 1, 'coordinate': [71.47784270982802, 438.6650672860326]}
11:12:16.562{'coordinate': [144.99168416713792, 327.4233162379537], 'id': 5}
11:12:16.562{'coordinate': [72.85603581556512, 602.3329231801242], 'id': 18}
11:12:16.562{'coordinate': [77.6007615329155, 533.9761975969234], 'id': 9}
11:12:16.562{'coordinate': [85.97367167683794, 166.97411514004642], 'id': 20}
11:12:16.563{'id': 2, 'coordinate': [130.73091645359773, 487.6489252229295]}
11:12:16.564{'coordinate': [145.91669524447883, 542.5070314164082], 'id': 17}
11:12:16.565{'coordinate': [148.16775914251895, 770.7399782639384], 'id': 19}
11:12:16.565{'id': 8, 'coordinate': [75.99507690401452, 679.5562662932068]}
11:12:16.566{'coordinate': [76.77270098022774, 310.99329150955725], 'id': 4}
11:12:16.567{'id': 6, 'coordinate': [138.7171571922782, 119.5427207081064]}
11:12:16.568{'coordinate': [151.9994452575533, 629.1489610356064], 'id': 7}
11:12:16.568{'id': 13, 'coordinate': [149.99021545189203, 254.27468860508003]}
11:12:16.568{'id': 3, 'coordinate': [158.13534223430037, 707.1828978368778]}
11:12:16.569{'id': 15, 'coordinate': [140.99896355388347, 166.20360935744907]}
11:12:16.570{'coordinate': [77.75420136628614, 389.94837614934534], 'id': 11}
11:12:16.570{'id': 10, 'coordinate': [137.59160620017792, 389.0210653435564]}
11:12:16.570{'id': 12, 'coordinate': [76.99796804691948, 761.2850859421078]}
11:12:16.571{'coordinate': [76.7451252427328, 244.97282436565422], 'id': 14}
11:12:16.571{'id': 16, 'coordinate': [82.99812523609299, 101.27383761892992]}
11:12:16.889{'coordinate': [82.28405372334768, 598.9993847701863], 'id': 18}
11:12:16.895{'coordinate': [95.96050751525691, 166.46117271006963], 'id': 20}
11:12:16.895{'id': 15, 'coordinate': [150.9984453308252, 166.30541403617357]}
11:12:16.895{'id': 1, 'coordinate': [79.71676406474204, 432.99760092904893]}
11:12:16.896{'coordinate': [86.65905147034161, 309.4899372643359], 'id': 4}
11:12:16.898{'coordinate': [154.98752625070688, 327.13497435693057], 'id': 5}
11:12:16.898{'id': 16, 'coordinate': [92.99718785413948, 101.41075642839488]}
11:12:16.898{'id': 2, 'coordinate': [132.5963746803966, 497.47338783439426]}
11:12:16.899{'id': 6, 'coordinate': [146.0757357884173, 126.3140810621596]}
11:12:16.900{'coordinate': [155.37504286671825, 539.2605471246122], 'id': 17}
11:12:16.900{'coordinate': [156.75163871377842, 765.6099673959076], 'id': 19}
11:12:16.900{'coordinate': [86.1176878640992, 248.45923654848133], 'id': 14}
11:12:16.900{'id': 10, 'coordinate': [147.38740930026688, 391.0315980153346]}
11:12:16.900{'id': 13, 'coordinate': [159.48532317783804, 257.41203290762]}
11:12:16.900{'id': 8, 'coordinate': [85.99261535602179, 679.3343994398102]}
11:12:16.901{'coordinate': [161.99916788632996, 629.2234415534095], 'id': 7}
11:12:16.901{'coordinate': [87.13130204942921, 393.422564224018], 'id': 11}
11:12:16.901{'coordinate': [87.40114229937325, 535.9642963953851], 'id': 9}
11:12:16.901{'id': 3, 'coordinate': [167.70301335145058, 704.2743467553167]}
11:12:16.902{'id': 12, 'coordinate': [86.99695207037922, 761.4276289131617]}
11:12:17.184{'coordinate': [165.3355182850379, 760.4799565278768], 'id': 19}
11:12:17.192{'coordinate': [164.83339048895766, 536.0140628328163], 'id': 17}
11:12:17.194{'id': 12, 'coordinate': [96.99593609383896, 761.5701718842156]}
11:12:17.194{'id': 15, 'coordinate': [160.99792710776694, 166.4072187148981]}
11:12:17.194{'id': 6, 'coordinate': [153.4343143845564, 133.0854414162128]}
11:12:17.195{'coordinate': [95.4902504854656, 251.94564873130844], 'id': 14}
11:12:17.196{'coordinate': [164.98336833427584, 326.8466324759074], 'id': 5}
11:12:17.196{'id': 13, 'coordinate': [168.98043090378405, 260.54937721016]}
11:12:17.196{'id': 3, 'coordinate': [177.2706844686008, 701.3657956737557]}
11:12:17.197{'coordinate': [105.94734335367588, 165.94823028009284], 'id': 20}
11:12:17.197{'id': 2, 'coordinate': [134.46183290719546, 507.297850445859]}
11:12:17.197{'id': 8, 'coordinate': [95.99015380802905, 679.1125325864136]}
11:12:17.198{'coordinate': [97.201523065831, 537.9523951938468], 'id': 9}
11:12:17.199{'coordinate': [171.9988905151066, 629.2979220712127], 'id': 7}
11:12:17.199{'id': 10, 'coordinate': [157.18321240035584, 393.04213068711283]}
11:12:17.199{'id': 16, 'coordinate': [102.99625047218598, 101.54767523785983]}
11:12:17.199{'id': 1, 'coordinate': [87.95568541965605, 427.3301345720652]}
11:12:17.200{'coordinate': [91.71207163113024, 595.6658463602485], 'id': 18}
11:12:17.200{'coordinate': [96.50840273257228, 396.89675229869067], 'id': 11}
11:12:17.200{'coordinate': [96.54540196045548, 307.9865830191145], 'id': 4}
11:12:17.540{'id': 8, 'coordinate': [105.98769226003631, 678.890665733017]}
11:12:17.541{'coordinate': [173.91939785629737, 755.349945659846], 'id': 19}
11:12:17.541{'coordinate': [174.29173811119708, 532.7675785410204], 'id': 17}
11:12:17.541{'id': 13, 'coordinate': [178.47553862973007, 263.6867215127]}
11:12:17.541{'id': 16, 'coordinate': [112.99531309023246, 101.6845940473248]}
11:12:17.542{'coordinate': [174.9792104178448, 326.5582905948843], 'id': 5}
11:12:17.542{'id': 10, 'coordinate': [166.9790155004448, 395.05266335889104]}
11:12:17.542{'id': 2, 'coordinate': [136.32729113399432, 517.1223130573237]}
11:12:17.543{'id': 12, 'coordinate': [106.9949201172987, 761.7127148552695]}
11:12:17.543{'id': 3, 'coordinate': [186.838355585751, 698.4572445921946]}
11:12:17.544{'coordinate': [107.00190383228875, 539.9404939923085], 'id': 9}
11:12:17.545{'coordinate': [101.1400895389128, 592.3323079503106], 'id': 18}
11:12:17.546{'coordinate': [106.43175245056935, 306.48322877389313], 'id': 4}
11:12:17.546{'coordinate': [115.93417919209485, 165.43528785011605], 'id': 20}
11:12:17.547{'coordinate': [181.99861314388326, 629.3724025890159], 'id': 7}
11:12:17.550{'id': 15, 'coordinate': [170.99740888470868, 166.5090233936226]}
11:12:17.552{'id': 6, 'coordinate': [160.79289298069548, 139.856801770266]}
11:12:17.556{'coordinate': [104.862813106832, 255.43206091413555], 'id': 14}
11:12:17.746{'id': 1, 'coordinate': [95.98101985369561, 433.2962059110469]}
11:12:17.991{'coordinate': [116.8022845987465, 541.9285927907702], 'id': 9}
11:12:17.994{'id': 2, 'coordinate': [138.1927493607932, 526.9467756687884]}
11:12:17.994{'id': 8, 'coordinate': [115.98523071204357, 678.6687988796205]}
11:12:17.996{'coordinate': [125.92101503051381, 164.92234542013927], 'id': 20}
11:12:17.996{'coordinate': [182.50327742755684, 750.2199347918151], 'id': 19}
11:12:17.996{'coordinate': [183.7500857334365, 529.5210942492245], 'id': 17}
11:12:17.997{'coordinate': [105.88550341571535, 400.37094037336334], 'id': 11}
11:12:17.997{'coordinate': [114.23537572819839, 258.91847309696266], 'id': 14}
11:12:17.997{'coordinate': [191.9983357726599, 629.4468831068191], 'id': 7}
11:12:17.997{'id': 16, 'coordinate': [122.99437570827895, 101.82151285678975]}
11:12:17.997{'id': 3, 'coordinate': [196.40602670290122, 695.5486935106336]}
