10:59:40.487{'id': 10, 'coordinate': [127.79580310008896, 387.0105326717782]}
10:59:40.489{'coordinate': [62.31716911349587, 322.4692214883356], 'id': 4}
10:59:40.490{'id': 6, 'coordinate': [129.26905612157597, 114.49923805924288]}
10:59:40.491{'coordinate': [130.99948177694174, 166.10180467872453], 'id': 15}
10:59:40.491{'id': 13, 'coordinate': [140.055009747249, 252.24344181970554]}
10:59:40.491{'id': 8, 'coordinate': [65.99753845200726, 679.7781331466034]}
10:59:40.492{'coordinate': [134.38623250379982, 331.4494404451464], 'id': 5}
10:59:40.492{'coordinate': [67.3725626213664, 241.4864121828271], 'id': 14}
10:59:40.492{'id': 18, 'coordinate': [63.42801790778256, 605.6664615900621]}
10:59:40.492{'id': 7, 'coordinate': [139.1531240662865, 622.0119519111333]}
10:59:40.493{'coordinate': [139.26572307691464, 775.3716945697873], 'id': 19}
10:59:40.493{'coordinate': [72.90639900905862, 102.3650123344946], 'id': 16}
10:59:40.494{'coordinate': [136.02914303801538, 544.701793862661], 'id': 17}
10:59:40.494{'coordinate': [142.1062547611802, 703.4946761570873], 'id': 3}
10:59:40.494{'id': 11, 'coordinate': [68.37710068314307, 386.47418807467267]}
10:59:40.495{'id': 20, 'coordinate': [75.99978956911268, 168.06487351898406]}
10:59:40.496{'coordinate': [128.86545822679886, 477.82446261146475], 'id': 2}
10:59:40.496{'coordinate': [63.23892135491401, 444.3325336430163], 'id': 1}
10:59:40.497{'coordinate': [66.9339913288091, 759.852909646477], 'id': 12}
10:59:40.497{'id': 9, 'coordinate': [67.80038076645775, 531.9880987984617]}
10:59:40.754{'coordinate': [145.05828607603075, 540.403587725322], 'id': 17}
10:59:40.757{'coordinate': [67.63433822699174, 330.93844297667124], 'id': 4}
10:59:40.759{'coordinate': [130.73091645359773, 487.6489252229295], 'id': 2}
10:59:40.759{'id': 6, 'coordinate': [134.53811224315194, 122.99847611848577]}
10:59:40.760{'coordinate': [140.99896355388347, 166.20360935744907], 'id': 15}
10:59:40.760{'coordinate': [145.2125095223604, 693.9893523141745], 'id': 3}
10:59:40.760{'id': 18, 'coordinate': [72.85603581556512, 602.3329231801242]}
