1	26:48.654	142.84	111.05	90.16	57.21	141.30	136.54	77.65	125.74	91.85	88.01	113.18	69.02	79.58	55.64	56.90	58.98	92.31	69.31	85.43	132.53
2	26:48.908	142.63	110.87	89.93	57.00	141.08	136.31	77.44	125.53	91.63	87.78	112.97	68.81	79.36	55.40	56.69	58.77	92.09	69.09	85.21	132.29
3	26:49.189	142.42	110.65	89.73	56.78	140.88	136.10	77.24	125.32	91.42	87.57	112.75	68.59	79.15	55.19	56.48	58.55	91.89	68.85	84.99	132.09
4	26:49.459	142.09	110.43	89.48	56.51	140.63	135.88	77.00	125.06	91.19	87.32	112.51	68.34	78.93	54.97	56.24	58.18	91.64	68.62	84.74	131.86
5	26:49.895	141.80	110.10	89.16	56.20	140.23	135.53	76.67	124.76	90.90	87.02	112.16	67.86	78.66	54.62	55.92	57.85	91.31	68.30	84.40	131.54
6	26:50.300	141.60	109.76	88.83	55.74	140.03	135.20	76.35	124.42	90.55	86.70	111.85	67.65	78.37	54.31	55.51	57.63	91.04	67.98	84.08	131.24
7	26:50.652	141.29	109.40	88.52	55.39	139.67	134.91	76.10	124.12	90.23	86.42	111.55	67.22	78.07	54.00	55.23	57.19	90.75	67.68	83.69	131.00
8	26:51.181	140.99	109.14	88.20	55.05	139.43	134.59	75.74	123.80	90.01	86.13	111.26	67.00	77.75	53.62	54.90	56.82	90.41	67.37	83.31	130.72
9	26:51.640	140.63	108.83	87.87	54.67	139.12	134.27	75.43	123.47	89.61	85.78	110.92	66.67	77.44	53.26	54.59	56.45	90.11	67.06	82.94	130.35
10	26:52.037	140.30	108.63	87.57	54.44	138.80	133.98	75.11	123.15	89.29	85.49	110.46	66.34	77.14	52.93	54.39	56.25	89.78	66.78	82.60	129.97
11	26:52.444	139.98	108.29	87.25	54.09	138.52	133.61	74.79	122.85	89.01	85.17	110.11	66.01	76.82	52.58	54.09	55.93	89.33	66.46	82.21	129.69
12	26:52.827	139.65	107.98	86.95	53.77	138.23	133.31	74.51	122.53	88.71	84.89	109.74	65.67	76.49	52.29	53.78	55.62	88.98	66.17	81.85	129.41
13	26:53.228	139.31	107.67	86.62	53.49	137.91	133.00	74.19	122.21	88.41	84.56	109.52	65.37	76.18	51.94	53.43	55.34	88.63	65.83	81.66	129.21
14	26:53.656	139.01	107.35	86.35	53.21	137.53	132.69	73.77	121.89	88.13	84.28	109.19	65.07	75.90	51.59	53.13	55.05	88.26	65.54	81.35	128.90
15	26:54.044	138.66	107.06	86.06	52.84	137.28	132.42	73.53	121.54	87.88	83.93	108.72	64.73	75.54	51.26	52.78	54.73	87.85	65.05	80.89	128.57
16	26:54.316	138.31	106.71	85.74	52.53	136.97	132.13	73.20	121.18	87.57	83.60	108.44	64.41	75.05	51.04	52.49	54.41	87.50	64.67	80.66	128.16
17	26:54.857	138.02	106.40	85.43	52.28	136.63	131.88	72.90	120.90	87.16	83.28	108.17	64.09	74.73	50.63	52.21	54.14	87.28	64.32	80.36	127.85
18	26:55.129	137.72	106.10	85.09	51.96	136.35	131.58	72.57	120.70	86.95	82.95	107.82	63.77	74.49	50.42	51.87	53.85	86.96	64.11	80.06	127.57
19	26:55.643	137.43	105.81	84.78	51.66	136.06	131.28	72.27	120.39	86.57	82.69	107.51	63.50	74.19	49.96	51.57	53.53	86.65	63.59	79.78	127.28
20	26:55.968	137.09	105.49	84.47	51.30	135.70	130.93	71.97	120.06	86.33	82.35	107.20	63.16	73.91	49.71	51.27	53.08	86.30	63.25	79.42	127.01
21	26:56.341	136.79	105.08	84.14	51.05	135.41	130.63	71.66	119.75	86.02	82.08	106.84	62.86	73.57	49.38	51.27	52.87	85.98	62.85	79.14	126.71
22	26:56.757	136.46	104.77	83.82	50.75	135.14	130.29	71.35	119.42	85.62	81.77	106.62	62.55	73.25	49.07	51.15	52.55	85.69	62.51	78.65	126.48
23	26:57.148	136.14	104.55	83.51	50.43	134.85	129.95	71.01	119.15	85.43	81.48	106.32	62.26	72.91	48.81	50.93	52.26	85.35	62.31	78.45	126.20
24	26:57.387	135.94	104.24	83.28	50.22	134.64	129.75	70.81	118.97	85.24	81.27	106.10	62.05	72.70	48.60	50.73	52.05	85.15	61.93	78.23	125.98
25	26:57.809	135.62	104.03	82.99	49.88	134.32	129.43	70.32	118.59	84.92	80.94	105.81	61.73	72.36	48.25	50.64	51.72	84.81	61.72	77.92	125.68
26	26:58.238	135.23	103.68	82.63	49.58	133.99	129.08	69.92	118.25	84.60	80.63	105.41	61.40	72.04	47.88	50.23	51.40	84.44	61.38	77.51	125.39
27	26:58.632	134.94	103.36	82.32	49.29	133.68	128.80	69.71	117.96	84.33	80.33	105.10	61.12	71.73	47.58	49.90	51.10	84.13	61.07	77.22	125.08
28	26:58.852	134.72	103.16	82.11	49.09	133.47	128.60	69.35	117.76	84.11	80.12	104.89	60.92	71.53	47.37	49.81	50.89	83.93	60.87	77.00	124.87
29	26:59.421	134.45	102.73	81.81	48.61	133.15	128.32	69.14	117.51	83.83	79.82	104.57	60.65	71.25	47.01	49.50	50.56	83.64	60.56	76.73	124.46
30	26:59.789	134.15	102.51	81.49	48.24	132.80	128.01	68.67	117.21	83.59	79.50	104.25	60.32	70.95	46.73	49.42	50.20	83.35	60.24	76.39	124.21
31	27:00.238	133.84	102.19	81.18	47.84	132.48	127.70	68.44	116.91	83.28	79.22	103.97	59.99	70.64	46.38	49.00	49.90	83.02	59.91	76.07	123.88
32	27:00.672	133.52	101.88	80.90	47.49	132.16	127.42	68.11	116.61	82.95	78.91	103.64	59.64	70.35	46.05	48.90	49.57	82.68	59.58	75.76	123.56
33	27:01.068	133.20	101.56	80.55	47.09	131.85	127.14	67.83	116.29	82.65	78.55	103.35	59.38	70.00	45.74	48.68	49.21	82.32	59.28	75.39	123.24
34	27:01.315	132.86	101.23	80.23	46.89	131.55	126.82	67.52	116.02	82.36	78.28	103.07	59.11	69.72	45.50	48.43	48.87	82.04	58.93	75.04	122.95
35	27:01.759	132.61	101.00	79.97	46.55	131.27	126.55	67.28	115.76	82.11	78.08	102.81	58.90	69.49	45.14	48.19	48.68	81.77	58.71	74.82	122.68
36	27:02.101	132.35	100.71	79.68	46.17	130.97	126.30	66.97	115.45	81.81	77.83	102.51	58.61	69.19	44.85	48.06	48.36	81.47	58.44	74.52	122.40
37	27:02.344	132.06	100.42	79.40	45.98	130.67	126.03	66.67	115.18	81.53	77.52	102.22	58.32	68.91	44.62	47.84	48.08	81.22	58.16	74.26	122.11
38	27:02.739	131.82	100.21	79.17	45.63	130.45	125.80	66.45	114.95	81.30	77.29	101.99	58.12	68.70	44.33	47.68	47.86	81.01	57.92	74.03	121.93
39	27:02.980	131.51	99.94	78.90	45.45	130.19	125.51	66.16	114.68	80.97	77.01	101.68	57.83	68.42	44.14	47.54	47.58	80.68	57.63	73.74	121.62
40	27:03.300	131.26	99.70	78.69	45.17	129.96	125.25	65.90	114.45	80.68	76.74	101.43	57.54	68.42	43.88	47.31	47.58	80.39	57.39	73.48	121.37
41	27:03.624	130.98	99.43	78.43	45.17	129.72	125.00	65.65	114.20	80.42	76.46	101.18	57.31	68.31	43.62	47.14	47.50	80.13	57.10	73.23	121.13
42	27:03.938	130.71	99.05	78.16	45.08	129.43	124.72	65.39	113.91	80.18	76.21	100.77	57.06	68.17	43.35	46.99	47.38	79.85	57.10	72.97	120.86
43	27:04.356	130.28	98.85	77.85	44.98	129.13	124.44	65.10	113.60	79.83	75.91	100.53	56.77	68.01	43.01	46.81	47.19	79.38	56.99	72.63	120.55
44	27:04.761	129.99	98.53	77.57	44.78	128.78	124.12	64.78	113.28	79.50	75.60	100.23	56.43	67.79	42.71	46.59	46.96	78.96	56.77	72.32	120.20
45	27:05.172	129.67	98.22	77.23	44.57	128.48	123.83	64.43	113.00	79.22	75.32	99.90	56.09	67.59	42.38	46.40	46.76	78.60	56.55	72.00	119.92
46	27:05.555	129.35	97.91	76.95	44.33	128.19	123.49	64.11	112.66	78.92	75.01	99.61	55.82	67.41	42.10	46.16	46.58	78.24	56.34	71.70	119.60
47	27:05.934	129.08	97.63	76.64	44.13	127.86	123.19	63.81	112.36	78.60	74.73	99.30	55.50	67.16	41.80	45.99	46.32	77.88	56.12	71.43	119.33
48	27:06.332	128.73	97.32	76.31	43.96	127.58	122.92	63.50	112.05	78.32	74.41	98.98	55.23	66.95	41.47	45.80	46.12	77.49	55.90	71.11	119.05
49	27:06.759	128.43	96.99	75.97	43.74	127.24	122.59	63.20	111.71	77.99	74.08	98.63	54.92	66.76	41.13	45.58	45.91	77.10	55.73	70.77	118.70
50	27:07.173	128.23	96.67	75.62	43.51	126.89	122.28	62.90	111.37	77.73	73.77	98.28	54.60	66.49	40.82	45.35	45.68	76.87	55.48	70.48	118.33
52	27:07.273	127.93	96.42	75.37	43.30	126.63	122.01	62.61	111.14	77.49	73.54	98.04	54.34	66.24	40.82	45.15	45.47	76.64	55.25	70.21	118.07
53	27:07.520	127.70	96.20	75.17	43.12	126.40	121.80	62.41	110.97	77.29	73.30	97.82	54.14	66.08	40.70	44.94	45.32	76.40	55.11	70.00	117.88
